"","name","year","month","ndvi_mean","gvi_mean","gpp_mean","Minimum_temperature_height_above_ground_6_Hour_Interval_mean","Maximum_temperature_height_above_ground_6_Hour_Interval_mean","Pressure_surface_mean","total_precipitation","Volumetric_Soil_Moisture_Content_depth_below_surface_layer_5_cm_mean","Volumetric_Soil_Moisture_Content_depth_below_surface_layer_150_cm_mean","Volumetric_Soil_Moisture_Content_depth_below_surface_layer_25_cm_mean","longitude","latitude","yield"
"2","Örebro",2000,2,0.103730451394689,0.0865461502536051,0.000616470417022606,273.001723322375,274.672413266938,99559.3103448276,53.3706207759146,0.304557759250546,0.240991810400938,0.289151292872326,14.9939646345,59.3718435615,3370
"3","Örebro",2000,3,0.180291725733369,0.183554654676752,0.00263862330835252,272.843145555066,276.303226101783,99956.25,38.2738065379652,0.246197580870601,0.245012097000595,0.252211693614241,14.9939646345,59.3718435615,3370
"4","Örebro",2000,4,0.240171430952138,0.272447457742621,0.0130087046044521,278.268332926432,282.076666514079,100101.291666667,89.985600245518,0.229600416434308,0.241322499575714,0.23164708353579,14.9939646345,59.3718435615,3370
"5","Örebro",2000,5,0.392900385633231,0.357918797904224,0.0404229013790323,283.476612214119,288.015725658786,100473.709677419,69.8899357791357,0.184731854906967,0.225584677150173,0.214108871235963,14.9939646345,59.3718435615,3370
"6","Örebro",2000,6,0.631814911859533,0.536550752388111,0.0571794515855757,285.002499516805,289.17791595459,100263.291666667,72.748799815099,0.214134582628806,0.203277082679172,0.214742916884522,14.9939646345,59.3718435615,3370
"7","Örebro",2000,7,0.655737997917418,0.560296384974682,0.0445139542429914,286.666934597877,290.175404210244,99741.4919354839,169.974580201758,0.260551210252508,0.200896774148268,0.256643548607826,14.9939646345,59.3718435615,3370
"8","Örebro",2000,8,0.408271709852091,0.354206213125957,0.0281957565648582,286.172985569123,289.906855306318,100321.532258065,47.9415485250861,0.219292338396753,0.229568145267906,0.227787096233618,14.9939646345,59.3718435615,3370
"9","Örebro",2000,9,0.423405844963872,0.393014468496239,0.0182427966698297,281.48541653951,285.624583180745,100866,62.5752005811591,0.196957916890581,0.216910833368699,0.209387916823228,14.9939646345,59.3718435615,3370
"10","Örebro",2000,10,0.147480941340243,0.0723893273088991,0.00177005269279279,281.993950628465,283.415725831063,100200.766129032,198.110323348286,0.26060886987515,0.21601491950212,0.250009274170283,14.9939646345,59.3718435615,3370
"11","Örebro",2000,11,0.147480941340243,0.0723893273088991,0.00177005269279279,278.502083587646,279.397499974569,99698.7916666667,185.263200550116,0.282238750283917,0.26843791740636,0.284735416745146,14.9939646345,59.3718435615,3370
"12","Örebro",2000,12,0.000342727825447073,-0.0278657203643501,1.16570454647638e-05,275.117338611234,275.952017384191,99707.9838709677,104.307096452621,0.305709677477998,0.282173790277973,0.270142741200905,14.9939646345,59.3718435615,3370
"14","Örebro",2001,2,0.100606131902709,0.0401095560873673,0.000365666359435011,267.725000040872,270.002232755934,100358.794642857,54.3510001456136,0.314833481796086,0.244902232129659,0.416961156763136,14.9939646345,59.3718435615,3720
"15","Örebro",2001,3,0.139528453900723,0.127624246616695,0.00120604343206552,270.349596823415,272.943548633206,99930.2419354839,55.2681292087837,0.311803225007269,0.230482661015084,0.414962497930373,14.9939646345,59.3718435615,3720
"16","Örebro",2001,4,0.168760060443781,0.173830455515429,0.00465446830781221,276.435000356038,279.438749821981,99975.25,83.4732002214424,0.25684874933213,0.238570417712132,0.325111666197578,14.9939646345,59.3718435615,3720
"17","Örebro",2001,5,0.378842370776663,0.367250981133963,0.0246785304230331,281.572580522107,285.945160896547,100431.370967742,62.6992253320872,0.227656048512267,0.275120564285786,0.243989515749197,14.9939646345,59.3718435615,3720
"18","Örebro",2001,6,0.535522282974667,0.471226683802706,0.0478623106029234,285.396665827433,289.546249262492,100050.916666667,60.7392003451423,0.205845000346502,0.238126249673466,0.214877916437884,14.9939646345,59.3718435615,3720
"19","Örebro",2001,7,0.628507923477094,0.543974488129633,0.0581673448736486,288.926209357477,293.459274538102,100246.491935484,109.647870587533,0.22088709665883,0.202556451602328,0.214878225759152,14.9939646345,59.3718435615,3720
