index,space_id,name,year,month,psnnet_max,ndvi_mean,msi_mean,evi_mean,gpp_max,gpp_mean,rgri_mean,ndwi_mean,psnnet_mean,nmdi_mean,lai_mean,evi2_mean,savi_mean,gvi_mean,winter_wheat_yield,winter_barley_yield,spring_wheat_yield,spring_barley_yield,longitude,latitude
0,12,Skåne,2000,2,0.00285,0.15202837242105322,0.8457749091630836,0.15455871640658078,0.0045000000000000005,0.0012233551589963157,1.1460282485021718,0.09802051512796059,0.0009546072575938059,-0.25183358077357365,0.5169284647180199,0.07089047141476833,0.05907539284564023,0.0888876964918847,7590,5920,6480,5430,13.6065503016,55.962847796999995
1,12,Skåne,2000,3,0.008074999999999999,0.27808370192966797,1.0236446721752046,0.248104741432422,0.011474999999999999,0.003913683205551638,1.0374780442268212,0.006685789329545903,0.0033023684484984692,-0.5014219303305294,0.9940297026181886,0.15650896613035256,0.13042413844196038,0.2640890262843007,7590,5920,6480,5430,13.6065503016,55.962847796999995
2,12,Skåne,2000,4,0.044950000000000004,0.3540257232384656,0.9852972916144629,0.333866409411897,0.053200000000000004,0.025436026948400543,1.0724188226347338,0.034190779849042584,0.02220111820243728,-0.5005441000497457,1.3590496200876478,0.2145643454539015,0.1788036212115846,0.3322526770109982,7590,5920,6480,5430,13.6065503016,55.962847796999995
3,12,Skåne,2000,5,0.07413333333333334,0.5344760615992247,0.6507174827202572,0.5824312441765143,0.08646666666666668,0.04632556167312877,1.2415169346960755,0.25117527249767446,0.038904383385539976,-0.03952744767941473,2.400348077461739,0.3697035571117007,0.3080862975930838,0.47043289776224895,7590,5920,6480,5430,13.6065503016,55.962847796999995
4,12,Skåne,2000,6,0.07617499999999999,0.6207269761155125,0.48087266862855566,0.6665830918911018,0.0917,0.05849138908327081,1.3444111764458464,0.3748912433731381,0.0456858734759731,0.22681293392848767,2.7791671961204014,0.4265852251479658,0.3554876876233052,0.5356928916023669,7590,5920,6480,5430,13.6065503016,55.962847796999995
5,12,Skåne,2000,7,0.06332499999999999,0.5613793453294958,0.4843480633923118,0.6218549996021111,0.083725,0.04525377706269033,1.2956524500786841,0.3629756767631544,0.03707541055852191,0.2319771378620548,2.575522352194234,0.3906349358984739,0.3255291132487286,0.48302890646133817,7590,5920,6480,5430,13.6065503016,55.962847796999995
6,12,Skåne,2000,8,0.04925,0.4252646626198804,0.8427666026361627,0.4283758873309955,0.069975,0.025006747261596247,1.134731685994972,0.12666481520438452,0.02089223224161279,-0.19807062027021682,1.831384161763134,0.2847534992612231,0.2372945827176859,0.40236348533257266,7590,5920,6480,5430,13.6065503016,55.962847796999995
7,12,Skåne,2000,9,0.038675,0.4115212415895074,0.8062733458089616,0.44850375925487657,0.046950000000000006,0.022157473314376615,1.2013826434481332,0.14026536111875285,0.018511915465369122,-0.17905837037267525,1.6925951721791335,0.2626659507130521,0.21888829226087686,0.34741427734792885,7590,5920,6480,5430,13.6065503016,55.962847796999995
8,12,Skåne,2000,10,0.010225,0.24144199079307033,0.8051823621044472,0.2674798942504952,0.01765,0.005981690499511435,1.1873232849640654,0.12833329734319104,0.003804319988097192,-0.20323881223576926,0.8698081840219821,0.133433795876053,0.11119482989671074,0.16574604878233243,7590,5920,6480,5430,13.6065503016,55.962847796999995
9,12,Skåne,2000,11,0.0016333333333333332,0.05027628461573014,0.5368374261376548,-0.35376263167083427,0.006366666666666666,0.0021584250699930962,1.1568399125372435,0.35353032647344484,0.00010084259405293906,0.14419719582893273,-0.03788133180467079,0.018190125058408783,0.015158437548673973,-0.019581557903688738,7590,5920,6480,5430,13.6065503016,55.962847796999995
10,12,Skåne,2000,12,0.000125,0.027706555167411485,0.5096025328754623,0.03554336440765001,0.0019999999999999996,0.0004958948996725337,1.1991333600839609,0.3420613825793569,-0.00035395286139604693,0.1417469953510005,0.16346953403168726,0.01555864853669789,0.012965540447248229,-0.05814187761419092,7590,5920,6480,5430,13.6065503016,55.962847796999995
11,12,Skåne,2001,2,0.00265,0.27347521227024746,1.076780641458509,0.2503034421916674,0.00485,0.001337200173267909,1.0536482998142065,-0.022571395820959884,0.0008235214848638097,-0.6024619589987061,0.9361571981877634,0.1443773651362372,0.1203144709468642,0.25346867751270497,7640,5900,6020,5790,13.6065503016,55.962847796999995
12,12,Skåne,2001,3,0.00625,0.2376919067900162,1.1834996296371452,0.18936391778780035,0.011425000000000001,0.0022058086349146058,0.9801976825123102,-0.07417103883705016,0.0018555490052662538,-0.7153160037940341,0.8094589410571599,0.12603353999663777,0.10502794999719813,0.2488042587530939,7640,5900,6020,5790,13.6065503016,55.962847796999995
13,12,Skåne,2001,4,0.016766666666666666,0.25000339353052636,1.0647730842778718,0.22109862570656302,0.024566666666666667,0.005878719363432105,1.028336076512716,-0.015793808476056537,0.0051024771095745354,-0.5803822755968299,0.8657924500360027,0.13699715388076744,0.11416429490063955,0.23907113631326055,7640,5900,6020,5790,13.6065503016,55.962847796999995
14,12,Skåne,2001,5,0.066425,0.5084192708189628,0.7533789948995547,0.5295303498313666,0.078975,0.043991653383190395,1.2060497926447398,0.18487813451021476,0.037910964274041614,-0.19583466811362266,2.225885247084411,0.3441157811564761,0.2867631509637302,0.4571820324471168,7640,5900,6020,5790,13.6065503016,55.962847796999995
15,12,Skåne,2001,6,0.07173333333333333,0.6507183569376209,0.44647983088089876,0.7576017935813258,0.09076666666666666,0.05183642847262735,1.3768182418514991,0.4057036232197459,0.042630139349890295,0.27388140873487565,3.2069810693820355,0.48088444796411894,0.400737039970099,0.565684776902066,7640,5900,6020,5790,13.6065503016,55.962847796999995
