"","X","State","Ag_District","month","Lat","Long","Year","erc","pr","rmin","tmmx","etr","eto","NDVI","prev","Crop_Yield"
"1",2594,"ILLINOIS","CENTRAL",2,40.4701529039302,-89.4017965589517,2001,12.7870912673353,43.2413194549142,51.5870517320233,288.106773138206,1.51101300527591,1.04243362223445,2381.11053078794,159,157
"2",2807,"ILLINOIS","CENTRAL",3,40.4701529039302,-89.4017965589517,2001,22.7387040396061,14.6842686733512,42.0895750902797,287.979284213363,2.55501454185153,1.8400550841547,2571.27514225707,159,157
"3",3020,"ILLINOIS","CENTRAL",4,40.4701529039302,-89.4017965589517,2001,28.512385817779,18.2967603502586,34.8771597729767,302.408279458931,5.97383611461991,4.21752664396943,3401.77540874722,159,157
"4",3233,"ILLINOIS","CENTRAL",5,40.4701529039302,-89.4017965589517,2001,29.6451986076033,20.5169627000749,39.4097246836793,305.385787543261,6.172646045067,4.61720425046748,4394.72385168388,159,157
"5",3446,"ILLINOIS","CENTRAL",6,40.4701529039302,-89.4017965589517,2001,24.2558854513919,33.0473052724591,48.2137685900969,307.357403870185,6.19597060759799,4.95465032709413,6914.78199515488,159,157
"6",3659,"ILLINOIS","CENTRAL",7,40.4701529039302,-89.4017965589517,2001,28.0108136367119,25.57251412387,50.7655643486711,308.187487496785,6.17583776148395,5.12632388142675,8120.10353534811,159,157
"7",3872,"ILLINOIS","CENTRAL",8,40.4701529039302,-89.4017965589517,2001,23.4760463044366,30.3076247985111,49.3839991674242,308.001174812294,5.31325527611449,4.39281693083949,8012.51617585824,159,157
"8",4085,"ILLINOIS","CENTRAL",9,40.4701529039302,-89.4017965589517,2001,21.278724966781,31.2302238173591,42.6273369039617,305.678334848468,4.81617883022757,3.59436705347822,4437.24599010876,159,157
"9",4298,"ILLINOIS","CENTRAL",10,40.4701529039302,-89.4017965589517,2001,18.660855723553,29.2546858864777,41.2555834469827,301.792192091105,3.88037912136798,2.62019588923057,3172.1404440328,159,157
"10",5150,"ILLINOIS","CENTRAL",2,40.4701529039302,-89.4017965589517,2002,18.1615904181079,24.530158059346,50.2794277128201,289.191864074664,1.97468743760165,1.32765962471455,2542.6042674984,157,148
"11",5363,"ILLINOIS","CENTRAL",3,40.4701529039302,-89.4017965589517,2002,22.1201373665926,14.3985440339898,44.5595489221938,293.046380286441,2.70370917569999,1.90748882599232,2617.81073184211,157,148
"12",5576,"ILLINOIS","CENTRAL",4,40.4701529039302,-89.4017965589517,2002,26.994277980255,41.030101535483,40.4263665916491,304.082155890908,4.92578199001661,3.55423471458132,3358.19713217097,157,148
"13",5789,"ILLINOIS","CENTRAL",5,40.4701529039302,-89.4017965589517,2002,21.4959266297012,53.6222244211789,42.3040664703318,300.918744430432,5.20655210248743,3.92768515230607,4106.20294942733,157,148
"14",6002,"ILLINOIS","CENTRAL",6,40.4701529039302,-89.4017965589517,2002,26.1529960660342,34.8004409523418,47.5379306229114,306.166673003456,6.73772925899543,5.32923459513479,5944.63417500104,157,148
"15",6215,"ILLINOIS","CENTRAL",7,40.4701529039302,-89.4017965589517,2002,32.5033091142682,32.6196116767792,50.0963773275435,308.240421958249,6.56823010903616,5.38391357462782,7556.15861627415,157,148
"16",6428,"ILLINOIS","CENTRAL",8,40.4701529039302,-89.4017965589517,2002,20.601801950336,40.6631854477567,57.6566553707221,307.519890468176,5.34954318591514,4.36819899005369,8143.27290018233,157,148
"17",6641,"ILLINOIS","CENTRAL",9,40.4701529039302,-89.4017965589517,2002,27.0884214535666,10.5816658355627,39.9990860016967,306.850164101677,5.28376920843501,3.99434208593138,5724.10267106706,157,148
"18",6854,"ILLINOIS","CENTRAL",10,40.4701529039302,-89.4017965589517,2002,24.4102172539189,17.2462184274143,40.3136804666975,304.270627995404,3.39746001013475,2.34481715256043,3316.47726412687,157,148
"19",7706,"ILLINOIS","CENTRAL",2,40.4701529039302,-89.4017965589517,2003,20.9534523139494,14.4365990457342,49.9743641588951,284.626611899018,1.35923819107129,0.949285746330241,1994.12873819765,148,183
"20",7919,"ILLINOIS","CENTRAL",3,40.4701529039302,-89.4017965589517,2003,23.4833249350674,14.4313612487147,41.5882510667576,297.054625073608,3.33776352700377,2.35190745931314,2488.52742156197,148,183
"21",8132,"ILLINOIS","CENTRAL",4,40.4701529039302,-89.4017965589517,2003,30.6373976143188,19.2787052569207,37.3164958303847,301.586787921702,5.44866663817715,3.85657153645766,3288.90547427965,148,183
"22",8345,"ILLINOIS","CENTRAL",5,40.4701529039302,-89.4017965589517,2003,23.2024817523963,31.416363744917,42.7151462515435,303.218124507973,5.30457257633359,4.09713326501499,4189.00815754094,148,183
"23",8558,"ILLINOIS","CENTRAL",6,40.4701529039302,-89.4017965589517,2003,28.9289271610778,27.2568557625357,43.4663200393644,306.718123095348,6.23552993981487,4.93464129158526,6504.4817533399,148,183
"24",8771,"ILLINOIS","CENTRAL",7,40.4701529039302,-89.4017965589517,2003,24.6603046658992,59.6701211174207,52.6986426414488,307.951985706196,6.59149633988474,5.41439434756476,8230.82583224438,148,183
"25",8984,"ILLINOIS","CENTRAL",8,40.4701529039302,-89.4017965589517,2003,26.2352555741703,5.63391489994524,48.1581729369234,312.509726867194,6.22423262642546,4.95043530375653,8078.15627251737,148,183
"26",9197,"ILLINOIS","CENTRAL",9,40.4701529039302,-89.4017965589517,2003,25.0483582935477,52.3547836388111,42.8589999444109,303.656983086083,5.30965178454482,3.91997887812346,5006.46695865641,148,183
